pdf_path,company,registrant_name,company_name_mismatch,error
../downolad_files/data/nasdaq_annual_reports\1-800-flowerscom\NASDAQ_FLWS_2022.pdf,1-800-flowerscom,"1-800-FLOWERS.COM, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\1-800-flowerscom\NASDAQ_FLWS_2019.pdf,1-800-flowerscom,,,
../downolad_files/data/nasdaq_annual_reports\1-800-flowerscom\NASDAQ_FLWS_2020.pdf,1-800-flowerscom,,,
../downolad_files/data/nasdaq_annual_reports\1-800-flowerscom\NASDAQ_FLWS_2021.pdf,1-800-flowerscom,,,
../downolad_files/data/nasdaq_annual_reports\10x-genomics-inc\NASDAQ_TXG_2019.pdf,10x-genomics-inc,"10x Genomics, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\10x-genomics-inc\NASDAQ_TXG_2021.pdf,10x-genomics-inc,"10x Genomics, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\10x-genomics-inc\NASDAQ_TXG_2020.pdf,10x-genomics-inc,"10x Genomics, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\111-inc\NASDAQ_YI_2018.pdf,111-inc,"111, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\111-inc\NASDAQ_YI_2019.pdf,111-inc,"111, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\111-inc\NASDAQ_YI_2020.pdf,111-inc,"111, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\1347-property-insurance-holdings-inc\NASDAQ_PIH_2015.pdf,1347-property-insurance-holdings-inc,"1347 Property Insurance Holdings, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\1347-property-insurance-holdings-inc\NASDAQ_PIH_2016.pdf,1347-property-insurance-holdings-inc,"1347 Property Insurance Holdings, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\1347-property-insurance-holdings-inc\NASDAQ_PIH_2017.pdf,1347-property-insurance-holdings-inc,"1347 Property Insurance Holdings, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\111-inc\NASDAQ_YI_2021.pdf,111-inc,"111, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\1st-source-corporation\NASDAQ_SRCE_2019.pdf,1st-source-corporation,1st Source Corporation,False,
../downolad_files/data/nasdaq_annual_reports\1st-source-corporation\NASDAQ_SRCE_2020.pdf,1st-source-corporation,1st Source Corporation,False,
../downolad_files/data/nasdaq_annual_reports\1895-bancorp-of-wisconsin-inc\NASDAQ_BCOW_2021.pdf,1895-bancorp-of-wisconsin-inc,"1895 BANCORP OF WISCONSIN, INC.",False,
../downolad_files/data/nasdaq_annual_reports\1895-bancorp-of-wisconsin-inc\NASDAQ_BCOW_2022.pdf,1895-bancorp-of-wisconsin-inc,"1895 BANCORP OF WISCONSIN, INC.",False,
