pdf_path,status,elapsed_seconds,n_chunks_word_count,form_type,company_name_mismatch,n_chunks_numeric_dense,error
../downolad_files\data/nasdaq_annual_reports/acacia-communications-inc/NASDAQ_ACIA%20_2018.pdf,preflagged_error,,,,,,Stream has ended unexpectedly
../downolad_files\data/nasdaq_annual_reports/1-800-flowerscom/NASDAQ_FLWS_2022.pdf,ok,26.2,142,10-K,False,38,
../downolad_files\data/nasdaq_annual_reports/1-800-flowerscom/NASDAQ_FLWS_2020.pdf,ok,26.6,89,,,25,
../downolad_files\data/nasdaq_annual_reports/1-800-flowerscom/NASDAQ_FLWS_2019.pdf,ok,28.0,93,,,26,
../downolad_files\data/nasdaq_annual_reports/1-800-flowerscom/NASDAQ_FLWS_2021.pdf,ok,29.8,94,,,28,
../downolad_files\data/nasdaq_annual_reports/10x-genomics-inc/NASDAQ_TXG_2021.pdf,ok,44.2,302,10-K,False,26,
../downolad_files\data/nasdaq_annual_reports/10x-genomics-inc/NASDAQ_TXG_2019.pdf,ok,71.4,262,10-K,False,33,
../downolad_files\data/nasdaq_annual_reports/1347-property-insurance-holdings-inc/NASDAQ_PIH_2015.pdf,ok,19.9,130,10-K,False,29,
../downolad_files\data/nasdaq_annual_reports/1347-property-insurance-holdings-inc/NASDAQ_PIH_2016.pdf,ok,19.8,135,10-K,False,36,
../downolad_files\data/nasdaq_annual_reports/111-inc/NASDAQ_YI_2018.pdf,ok,99.3,322,20-F,False,41,
../downolad_files\data/nasdaq_annual_reports/111-inc/NASDAQ_YI_2019.pdf,ok,114.3,374,20-F,False,42,
../downolad_files\data/nasdaq_annual_reports/1347-property-insurance-holdings-inc/NASDAQ_PIH_2017.pdf,ok,35.4,161,10-K,False,42,
../downolad_files\data/nasdaq_annual_reports/111-inc/NASDAQ_YI_2020.pdf,ok,118.2,429,20-F,False,55,
../downolad_files\data/nasdaq_annual_reports/1st-source-corporation/NASDAQ_SRCE_2019.pdf,ok,24.2,172,10-K,False,67,
../downolad_files\data/nasdaq_annual_reports/1st-source-corporation/NASDAQ_SRCE_2020.pdf,ok,28.4,186,10-K,False,69,
../downolad_files\data/nasdaq_annual_reports/10x-genomics-inc/NASDAQ_TXG_2020.pdf,ok,180.0,627,10-K,False,35,
../downolad_files\data/nasdaq_annual_reports/111-inc/NASDAQ_YI_2021.pdf,ok,114.7,361,20-F,False,43,
../downolad_files\data/nasdaq_annual_reports/1895-bancorp-of-wisconsin-inc/NASDAQ_BCOW_2021.pdf,ok,64.2,192,10-K,False,52,
../downolad_files\data/nasdaq_annual_reports/1895-bancorp-of-wisconsin-inc/NASDAQ_BCOW_2022.pdf,ok,52.2,182,10-K,False,50,
../downolad_files\data/nasdaq_annual_reports/1st-source-corporation/NASDAQ_SRCE_2021.pdf,ok,28.0,180,10-K,False,69,
../downolad_files\data/nasdaq_annual_reports/1st-source-corporation/NASDAQ_SRCE_2022.pdf,ok,25.6,174,10-K,False,65,
../downolad_files\data/nasdaq_annual_reports/2u-inc/NASDAQ_TWOU_2019.pdf,ok,25.4,181,10-K,,36,
../downolad_files\data/nasdaq_annual_reports/2u-inc/NASDAQ_TWOU_2020.pdf,ok,30.2,200,10-K,,36,
../downolad_files\data/nasdaq_annual_reports/21vianet-group-inc/NASDAQ_VNET_2015.pdf,ok,113.6,367,20-F,False,86,
../downolad_files\data/nasdaq_annual_reports/2u-inc/NASDAQ_TWOU_2021.pdf,ok,41.6,218,10-K,,33,
../downolad_files\data/nasdaq_annual_reports/21vianet-group-inc/NASDAQ_VNET_2017.pdf,ok,109.2,379,20-F,False,81,
../downolad_files\data/nasdaq_annual_reports/21vianet-group-inc/NASDAQ_VNET_2018.pdf,ok,111.4,376,20-F,False,76,
../downolad_files\data/nasdaq_annual_reports/21vianet-group-inc/NASDAQ_VNET_2016.pdf,ok,166.3,555,20-F,False,98,
../downolad_files\data/nasdaq_annual_reports/21vianet-group-inc/NASDAQ_VNET_2019.pdf,ok,197.6,696,20-F,False,86,
../downolad_files\data/nasdaq_annual_reports/360-finance-inc/NASDAQ_QFIN_2019.pdf,ok,121.3,414,20-F,False,50,
../downolad_files\data/nasdaq_annual_reports/360-finance-inc/NASDAQ_QFIN_2020.pdf,ok,117.2,383,20-F,False,51,
../downolad_files\data/nasdaq_annual_reports/360-finance-inc/NASDAQ_QFIN_2018.pdf,ok,136.8,387,20-F,False,46,
../downolad_files\data/nasdaq_annual_reports/3d-systems-corp/NASDAQ_DDD_2017.pdf,ok,31.8,154,10-K,False,50,
../downolad_files\data/nasdaq_annual_reports/36kr-holdings-inc/NASDAQ_KRKR_2019.pdf,ok,127.3,367,20-F,False,46,
../downolad_files\data/nasdaq_annual_reports/3d-systems-corp/NASDAQ_DDD_2018.pdf,ok,20.2,135,10-K,False,45,
../downolad_files\data/nasdaq_annual_reports/3d-systems-corp/NASDAQ_DDD_2019.pdf,ok,20.8,11,,,0,
../downolad_files\data/nasdaq_annual_reports/36kr-holdings-inc/NASDAQ_KRKR_2020.pdf,ok,124.5,358,20-F,False,46,
../downolad_files\data/nasdaq_annual_reports/3d-systems-corp/NASDAQ_DDD_2020.pdf,ok,37.2,264,10-K,False,50,
../downolad_files\data/nasdaq_annual_reports/36kr-holdings-inc/NASDAQ_KRKR_2022.pdf,ok,108.4,390,20-F,False,47,
../downolad_files\data/nasdaq_annual_reports/36kr-holdings-inc/NASDAQ_KRKR_2021.pdf,ok,119.8,432,20-F,False,60,
../downolad_files\data/nasdaq_annual_reports/2u-inc/NASDAQ_TWOU_2022.pdf,ok,251.0,1438,,,46,
../downolad_files\data/nasdaq_annual_reports/51job-inc/NASDAQ_JOBS_2015.pdf,ok,30.2,243,20-F,False,38,
../downolad_files\data/nasdaq_annual_reports/51job-inc/NASDAQ_JOBS_2016.pdf,ok,32.0,252,20-F,False,41,
../downolad_files\data/nasdaq_annual_reports/51job-inc/NASDAQ_JOBS_2017.pdf,ok,40.7,328,20-F,False,38,
../downolad_files\data/nasdaq_annual_reports/51job-inc/NASDAQ_JOBS_2018.pdf,ok,33.4,279,20-F,False,37,
../downolad_files\data/nasdaq_annual_reports/51job-inc/NASDAQ_JOBS_2019.pdf,ok,51.2,331,20-F,False,41,
../downolad_files\data/nasdaq_annual_reports/8x8-inc/NASDAQ_EGHT_2019.pdf,ok,24.8,174,10-K,False,36,
../downolad_files\data/nasdaq_annual_reports/89bio-inc/NASDAQ_ETNB_2020.pdf,ok,48.6,168,10-K,False,16,
../downolad_files\data/nasdaq_annual_reports/3d-systems-corp/NASDAQ_DDD_2021.pdf,ok,106.8,432,20-F,True,60,
../downolad_files\data/nasdaq_annual_reports/8x8-inc/NASDAQ_EGHT_2020.pdf,ok,28.1,199,10-K,False,34,
../downolad_files\data/nasdaq_annual_reports/8x8-inc/NASDAQ_EGHT_2021.pdf,ok,25.8,164,10-K,False,30,
../downolad_files\data/nasdaq_annual_reports/89bio-inc/NASDAQ_ETNB_2021.pdf,ok,53.5,169,10-K,False,15,
../downolad_files\data/nasdaq_annual_reports/8x8-inc/NASDAQ_EGHT_2022.pdf,ok,26.0,156,,,30,
../downolad_files\data/nasdaq_annual_reports/89bio-inc/NASDAQ_ETNB_2019.pdf,ok,85.5,315,10-K,False,28,
../downolad_files\data/nasdaq_annual_reports/9-meters-biopharma-inc/NASDAQ_NMTR_2018.pdf,ok,27.4,219,10-K,True,20,
../downolad_files\data/nasdaq_annual_reports/9-meters-biopharma-inc/NASDAQ_NMTR_2020.pdf,ok,58.8,222,10-K,False,31,
../downolad_files\data/nasdaq_annual_reports/9-meters-biopharma-inc/NASDAQ_NMTR_2021.pdf,ok,56.3,218,10-K,False,25,
../downolad_files\data/nasdaq_annual_reports/BRPInc/NASDAQ_DOO_2018.pdf,ok,3.7,14,,,1,
../downolad_files\data/nasdaq_annual_reports/BRPInc/NASDAQ_DOO_2019.pdf,ok,5.9,23,,,5,
../downolad_files\data/nasdaq_annual_reports/9-meters-biopharma-inc/NASDAQ_NMTR_2019.pdf,ok,78.3,302,10-K,True,25,
../downolad_files\data/nasdaq_annual_reports/BRPInc/NASDAQ_DOO_2020.pdf,ok,8.4,35,,,3,
../downolad_files\data/nasdaq_annual_reports/BRPInc/TSX_DOO_2017.pdf,ok,6.1,15,,,2,
../downolad_files\data/nasdaq_annual_reports/BRPInc/NASDAQ_DOO_2021.pdf,ok,11.1,34,,,3,
../downolad_files\data/nasdaq_annual_reports/DBV/NASDAQ_DBVT_2018.pdf,ok,65.6,444,20-F,,98,
../downolad_files\data/nasdaq_annual_reports/DBV/NASDAQ_DBVT_2017.pdf,ok,69.0,432,20-F,,86,
../downolad_files\data/nasdaq_annual_reports/9f-inc/NASDAQ_JFU_2020.pdf,ok,146.4,483,20-F,,59,
../downolad_files\data/nasdaq_annual_reports/9-meters-biopharma-inc/NASDAQ_NMTR_2017.pdf,ok,194.9,647,10-K,True,34,
../downolad_files\data/nasdaq_annual_reports/9f-inc/NASDAQ_JFU_2019.pdf,ok,179.2,588,20-F,,67,
../downolad_files\data/nasdaq_annual_reports/9f-inc/NASDAQ_JFU_2021.pdf,ok,143.2,442,20-F,,45,
../downolad_files\data/nasdaq_annual_reports/DBV/NASDAQ_DBVT_2021.pdf,ok,49.1,224,10-K,False,16,
../downolad_files\data/nasdaq_annual_reports/DBV/NASDAQ_DBVT_2019.pdf,ok,88.8,500,20-F,,80,
../downolad_files\data/nasdaq_annual_reports/Green-Plains-Partners-LP/NASDAQ_GPP_2018.pdf,ok,54.3,190,10-K,False,33,
../downolad_files\data/nasdaq_annual_reports/Green-Plains-Partners-LP/NASDAQ_GPP_2019.pdf,ok,48.1,202,10-K,False,32,
../downolad_files\data/nasdaq_annual_reports/Green-Plains-Partners-LP/NASDAQ_GPP_2020.pdf,ok,32.7,174,10-K,False,31,
../downolad_files\data/nasdaq_annual_reports/Green-Plains-Partners-LP/NASDAQ_GPP_2021.pdf,ok,28.0,156,10-K,True,25,
../downolad_files\data/nasdaq_annual_reports/Hurco-companies-Inc/NASDAQ_HURC_2019.pdf,ok,41.1,267,10-K,False,79,
../downolad_files\data/nasdaq_annual_reports/Eldorado-Resorts-Inc/NASDAQ_ERI_2020.pdf,ok,118.3,373,10-K,True,87,
../downolad_files\data/nasdaq_annual_reports/Hurco-companies-Inc/NASDAQ_HURC_2021.pdf,ok,44.5,274,10-K,False,70,
../downolad_files\data/nasdaq_annual_reports/ICU-medical-Incorporated/NASDAQ_ICUI_2016_be053643da474abb9e048daf1ac9aa5f.pdf,ok,16.9,140,10-K,False,40,
../downolad_files\data/nasdaq_annual_reports/DBV/NASDAQ_DBVT_2020.pdf,ok,152.1,424,10-K,False,30,
../downolad_files\data/nasdaq_annual_reports/ICU-medical-Incorporated/NASDAQ_ICUI_2017_f648bdecfe524b9ab55f6e702d3f397b.pdf,ok,19.0,153,10-K,False,43,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-corp/NASDAQ_INDB_2015.pdf,ok,1.7,7,,,2,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-corp/NASDAQ_INDB_2016.pdf,ok,2.8,6,,,1,
../downolad_files\data/nasdaq_annual_reports/ICU-medical-Incorporated/NASDAQ_ICUI_2018.pdf,ok,19.0,174,10-K,False,48,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-corp/NASDAQ_INDB_2017.pdf,ok,1.8,7,,,1,
