file,status,n_chunks,n_ticker_missing,elapsed_seconds,error
AMEX_ATRS_2012.parquet,ok,155,155,0.7,
AMEX_ATRS_2013.parquet,error,0,0,0.2,invalid input for query argument $13 in element #166 of executemany() sequence: nan (cannot convert float NaN to integer)
AMEX_ATRS_2014.parquet,ok,173,173,0.3,
NASDAQ_AACG_2018.parquet,ok,291,0,0.4,
NASDAQ_AACG_2019.parquet,ok,371,0,0.6,
AMEX_ATRS_2012.parquet,skipped_already_loaded,155,0,0.1,
AMEX_ATRS_2013.parquet,ok,167,167,0.3,
AMEX_ATRS_2014.parquet,skipped_already_loaded,173,0,0.0,
NASDAQ_AACG_2018.parquet,skipped_already_loaded,291,0,0.0,
NASDAQ_AACG_2019.parquet,skipped_already_loaded,371,0,0.0,
AMEX_ATRS_2012.parquet,skipped_already_loaded,155,0,0.1,
AMEX_ATRS_2013.parquet,skipped_already_loaded,167,0,0.0,
AMEX_ATRS_2014.parquet,skipped_already_loaded,173,0,0.0,
NASDAQ_AACG_2018.parquet,skipped_already_loaded,291,0,0.0,
NASDAQ_AACG_2019.parquet,skipped_already_loaded,371,0,0.0,
NASDAQ_AACG_2020.parquet,ok,425,0,0.6,
NASDAQ_AACG_2021.parquet,ok,432,0,0.6,
NASDAQ_AACG_2022.parquet,ok,449,0,0.6,
NASDAQ_AAIC_2020.parquet,ok,233,0,0.4,
NASDAQ_AAIC_2021.parquet,ok,243,0,0.4,
NASDAQ_AAIC_2022.parquet,ok,230,0,0.4,
NASDAQ_AAL_2019.parquet,ok,282,0,0.4,
NASDAQ_AAL_2020.parquet,ok,377,0,0.6,
NASDAQ_AAL_2021.parquet,ok,396,0,0.6,
NASDAQ_AAL_2022.parquet,ok,336,0,0.7,
NASDAQ_AAME_2018.parquet,ok,100,0,0.2,
NASDAQ_AAME_2019.parquet,ok,103,0,0.2,
NASDAQ_AAME_2020.parquet,ok,101,0,0.2,
NASDAQ_AAME_2021.parquet,ok,102,0,0.2,
NASDAQ_AAOI_2019.parquet,ok,199,0,0.4,
NASDAQ_AAOI_2020.parquet,ok,183,0,0.3,
NASDAQ_AAOI_2021.parquet,ok,170,0,0.3,
NASDAQ_AAOI_2022.parquet,ok,167,0,0.3,
NASDAQ_AAON_2019.parquet,ok,120,0,0.2,
NASDAQ_AAON_2020.parquet,ok,107,0,0.2,
NASDAQ_AAON_2021.parquet,ok,136,0,0.2,
NASDAQ_AAON_2022.parquet,ok,144,0,0.2,
NASDAQ_AAPL_2019.parquet,ok,169,0,0.3,
NASDAQ_AAPL_2020.parquet,ok,177,0,0.3,
NASDAQ_AAPL_2021.parquet,ok,138,0,0.2,
NASDAQ_AAPL_2022.parquet,ok,134,0,0.2,
NASDAQ_AAWW_2018.parquet,ok,158,0,0.3,
NASDAQ_AAWW_2019.parquet,ok,162,0,0.5,
