file,status,n_chunks,n_ticker_missing,elapsed_seconds,error
AMEX_ATRS_2012.parquet,ok,155,155,3.9,
AMEX_ATRS_2013.parquet,ok,167,167,2.0,
AMEX_ATRS_2014.parquet,ok,173,173,1.9,
NASDAQ_AACG_2018.parquet,ok,291,0,2.3,
NASDAQ_AACG_2019.parquet,ok,371,0,2.9,
AMEX_ATRS_2012.parquet,skipped_already_loaded,155,0,0.9,
AMEX_ATRS_2013.parquet,skipped_already_loaded,167,0,0.5,
AMEX_ATRS_2014.parquet,skipped_already_loaded,173,0,0.5,
NASDAQ_AACG_2018.parquet,skipped_already_loaded,291,0,0.5,
NASDAQ_AACG_2019.parquet,skipped_already_loaded,371,0,0.5,
NASDAQ_AACG_2020.parquet,ok,425,0,4.3,
NASDAQ_AACG_2021.parquet,ok,432,0,2.6,
NASDAQ_AACG_2022.parquet,ok,449,0,3.1,
NASDAQ_AAIC_2020.parquet,ok,233,0,2.0,
NASDAQ_AAIC_2021.parquet,ok,243,0,2.0,
NASDAQ_AAIC_2022.parquet,ok,230,0,2.0,
NASDAQ_AAL_2019.parquet,ok,282,0,2.2,
NASDAQ_AAL_2020.parquet,ok,377,0,2.4,
NASDAQ_AAL_2021.parquet,ok,396,0,3.0,
NASDAQ_AAL_2022.parquet,ok,336,0,2.4,
NASDAQ_AAME_2018.parquet,ok,100,0,1.5,
NASDAQ_AAME_2019.parquet,ok,103,0,1.5,
NASDAQ_AAME_2020.parquet,ok,101,0,1.5,
NASDAQ_AAME_2021.parquet,ok,102,0,1.6,
NASDAQ_AAOI_2019.parquet,ok,199,0,1.9,
NASDAQ_AAOI_2020.parquet,ok,183,0,1.7,
NASDAQ_AAOI_2021.parquet,ok,170,0,1.9,
NASDAQ_AAOI_2022.parquet,ok,167,0,1.8,
NASDAQ_AAON_2019.parquet,ok,120,0,1.8,
NASDAQ_AAON_2020.parquet,ok,107,0,1.6,
NASDAQ_AAON_2021.parquet,ok,136,0,1.7,
NASDAQ_AAON_2022.parquet,ok,144,0,1.7,
NASDAQ_AAPL_2019.parquet,ok,169,0,1.8,
NASDAQ_AAPL_2020.parquet,ok,177,0,1.8,
NASDAQ_AAPL_2021.parquet,ok,138,0,1.6,
NASDAQ_AAPL_2022.parquet,ok,134,0,1.6,
NASDAQ_AAWW_2018.parquet,ok,158,0,1.7,
NASDAQ_AAWW_2019.parquet,ok,162,0,1.8,
NASDAQ_AAWW_2020.parquet,ok,165,0,1.7,
NASDAQ_AAWW_2021.parquet,ok,144,0,1.7,
NASDAQ_ABCB_2019.parquet,ok,276,0,2.4,
NASDAQ_ABCB_2020.parquet,ok,254,0,2.1,
NASDAQ_ABCB_2021.parquet,ok,50,0,2.5,
NASDAQ_ABCB_2022.parquet,ok,215,0,2.2,
NASDAQ_ABEO_2019.parquet,ok,180,0,2.0,
NASDAQ_ABEO_2020.parquet,ok,199,0,2.0,
NASDAQ_ABEO_2021.parquet,ok,293,0,2.4,
NASDAQ_ABEO_2022.parquet,ok,231,0,2.1,
NASDAQ_ABIO_2019.parquet,ok,189,0,1.9,
NASDAQ_ABIO_2020.parquet,ok,199,0,1.9,
NASDAQ_ABIO_2021.parquet,ok,199,0,1.8,
NASDAQ_ABIO_2022.parquet,ok,186,0,1.9,
NASDAQ_ABMD_2018.parquet,ok,149,0,1.7,
NASDAQ_ABMD_2019.parquet,ok,147,0,1.8,
NASDAQ_ABMD_2020.parquet,ok,159,0,2.3,
NASDAQ_ABMD_2021.parquet,ok,180,0,2.1,
NASDAQ_ABTX_2018.parquet,ok,211,0,2.2,
NASDAQ_ABTX_2019.parquet,ok,225,0,2.2,
NASDAQ_ABTX_2020.parquet,ok,255,0,2.3,
NASDAQ_ABUS_2017.parquet,ok,301,0,2.4,
NASDAQ_ABUS_2018.parquet,ok,227,0,2.0,
NASDAQ_ABUS_2019.parquet,ok,183,0,2.0,
NASDAQ_ABUS_2020.parquet,ok,175,0,1.8,
NASDAQ_ABUS_2021.parquet,ok,310,0,2.7,
NASDAQ_ACAD_2018.parquet,ok,173,0,1.9,
NASDAQ_ACAD_2019.parquet,ok,198,0,2.0,
NASDAQ_ACAD_2020.parquet,ok,224,0,2.0,
