path,pages,words,paragraphs,sliding_window_chunks,error
data/nasdaq_annual_reports\1-800-flowerscom\NASDAQ_FLWS_2019.pdf,79,30742,130,614,
data/nasdaq_annual_reports\1-800-flowerscom\NASDAQ_FLWS_2020.pdf,79,29977,128,599,
data/nasdaq_annual_reports\1-800-flowerscom\NASDAQ_FLWS_2021.pdf,79,31586,131,631,
data/nasdaq_annual_reports\1-800-flowerscom\NASDAQ_FLWS_2022.pdf,100,48917,989,978,
data/nasdaq_annual_reports\10x-genomics-inc\NASDAQ_TXG_2019.pdf,152,84399,714,1687,
data/nasdaq_annual_reports\10x-genomics-inc\NASDAQ_TXG_2020.pdf,325,179250,317,3584,
data/nasdaq_annual_reports\10x-genomics-inc\NASDAQ_TXG_2021.pdf,152,91145,152,1822,
data/nasdaq_annual_reports\111-inc\NASDAQ_YI_2018.pdf,171,104081,2656,2081,
data/nasdaq_annual_reports\111-inc\NASDAQ_YI_2019.pdf,213,119906,4808,2398,
data/nasdaq_annual_reports\111-inc\NASDAQ_YI_2020.pdf,316,134104,323,2682,
data/nasdaq_annual_reports\111-inc\NASDAQ_YI_2021.pdf,189,115796,226,2315,
data/nasdaq_annual_reports\1347-property-insurance-holdings-inc\NASDAQ_PIH_2015.pdf,84,51985,121,1039,
data/nasdaq_annual_reports\1347-property-insurance-holdings-inc\NASDAQ_PIH_2016.pdf,92,46833,112,936,
data/nasdaq_annual_reports\1347-property-insurance-holdings-inc\NASDAQ_PIH_2017.pdf,102,54743,965,1094,
data/nasdaq_annual_reports\1895-bancorp-of-wisconsin-inc\NASDAQ_BCOW_2021.pdf,108,62087,665,1241,
data/nasdaq_annual_reports\1895-bancorp-of-wisconsin-inc\NASDAQ_BCOW_2022.pdf,104,59023,393,1180,
data/nasdaq_annual_reports\1st-source-corporation\NASDAQ_SRCE_2019.pdf,104,65295,238,1305,
data/nasdaq_annual_reports\1st-source-corporation\NASDAQ_SRCE_2020.pdf,116,72036,210,1440,
data/nasdaq_annual_reports\1st-source-corporation\NASDAQ_SRCE_2021.pdf,112,70413,204,1408,
data/nasdaq_annual_reports\1st-source-corporation\NASDAQ_SRCE_2022.pdf,112,68293,203,1365,
data/nasdaq_annual_reports\21vianet-group-inc\NASDAQ_VNET_2015.pdf,224,114549,878,2290,
data/nasdaq_annual_reports\21vianet-group-inc\NASDAQ_VNET_2016.pdf,367,178435,2438,3568,
data/nasdaq_annual_reports\21vianet-group-inc\NASDAQ_VNET_2017.pdf,256,122620,1540,2452,
data/nasdaq_annual_reports\21vianet-group-inc\NASDAQ_VNET_2018.pdf,233,121722,1446,2434,
data/nasdaq_annual_reports\21vianet-group-inc\NASDAQ_VNET_2019.pdf,483,214489,5285,4289,
data/nasdaq_annual_reports\2u-inc\NASDAQ_TWOU_2019.pdf,72,62470,75,1249,
data/nasdaq_annual_reports\2u-inc\NASDAQ_TWOU_2020.pdf,120,65862,160,1317,
data/nasdaq_annual_reports\2u-inc\NASDAQ_TWOU_2021.pdf,128,72160,177,1443,
data/nasdaq_annual_reports\2u-inc\NASDAQ_TWOU_2022.pdf,136,298852,374,5977,
data/nasdaq_annual_reports\360-finance-inc\NASDAQ_QFIN_2018.pdf,252,124840,3861,2496,
data/nasdaq_annual_reports\360-finance-inc\NASDAQ_QFIN_2019.pdf,234,132998,432,2659,
data/nasdaq_annual_reports\360-finance-inc\NASDAQ_QFIN_2020.pdf,218,118042,218,2360,
data/nasdaq_annual_reports\36kr-holdings-inc\NASDAQ_KRKR_2019.pdf,196,118183,5618,2363,
data/nasdaq_annual_reports\36kr-holdings-inc\NASDAQ_KRKR_2020.pdf,224,115205,5810,2304,
data/nasdaq_annual_reports\36kr-holdings-inc\NASDAQ_KRKR_2021.pdf,289,133422,289,2668,
data/nasdaq_annual_reports\36kr-holdings-inc\NASDAQ_KRKR_2022.pdf,249,120327,248,2406,
data/nasdaq_annual_reports\3d-systems-corp\NASDAQ_DDD_2017.pdf,91,52449,91,1048,
data/nasdaq_annual_reports\3d-systems-corp\NASDAQ_DDD_2018.pdf,87,44328,158,886,
data/nasdaq_annual_reports\3d-systems-corp\NASDAQ_DDD_2019.pdf,88,16672,86,333,
data/nasdaq_annual_reports\3d-systems-corp\NASDAQ_DDD_2020.pdf,193,79238,191,1584,
data/nasdaq_annual_reports\3d-systems-corp\NASDAQ_DDD_2021.pdf,289,133422,289,2668,
data/nasdaq_annual_reports\51job-inc\NASDAQ_JOBS_2015.pdf,121,80647,1484,1612,
data/nasdaq_annual_reports\51job-inc\NASDAQ_JOBS_2016.pdf,137,82205,137,1644,
data/nasdaq_annual_reports\51job-inc\NASDAQ_JOBS_2017.pdf,203,107119,203,2142,
data/nasdaq_annual_reports\51job-inc\NASDAQ_JOBS_2018.pdf,146,90821,146,1816,
data/nasdaq_annual_reports\51job-inc\NASDAQ_JOBS_2019.pdf,180,106777,180,2135,
data/nasdaq_annual_reports\89bio-inc\NASDAQ_ETNB_2019.pdf,185,100153,433,2003,
data/nasdaq_annual_reports\89bio-inc\NASDAQ_ETNB_2020.pdf,101,54130,280,1082,
data/nasdaq_annual_reports\89bio-inc\NASDAQ_ETNB_2021.pdf,102,54422,293,1088,
